query,expected_category,expected_subcategory,actual_category,actual_subcategory,result
clothes washing service chahiye,Daily Needs,Laundry,Daily Needs,Laundry,PASS
nearby room interior karwana hai koi hai kya,Local Professionals,Interior Designer,Local Professionals,Interior Designer,PASS
mere area me CCTV camera lagwana hai jaldi,Home Services,CCTV Installation,Home Services,CCTV Installation,PASS
urgent tractor mechanic chahiye jaldi,Agriculture,Tractor Repair,Agriculture,Tractor Repair,PASS
bhai online classes chahiye aaj,Education,Online Tutor,Education,Online Tutor,PASS
aaj physiotherapy karwani hai chahiye,Health & Wellness,Physiotherapist,Health & Wellness,Physiotherapist,PASS
nearby doctor appointment chahiye help chahiye,Health & Wellness,Doctor,Health & Wellness,Doctor,PASS
urgent bike repair karwani hai aaj,Vehicle Services,Bike Repair,Vehicle Services,Bike Repair,PASS
car tow karwani hai mere area me,Vehicle Services,Towing Service,Vehicle Services,Towing Service,PASS
jaldi birthday party planner chahiye jaldi,Local Professionals,Event Planner,Local Professionals,Event Planner,PASS
nearby fan repair karwana hai mere area me,Home Services,Electrician,Home Services,Appliance Repair,FAIL
urgent personal trainer chahiye mere area me,Health & Wellness,Fitness Trainer,Health & Wellness,Fitness Trainer,PASS
aaj plumber chahiye koi hai kya,Home Services,Plumber,Home Services,Plumber,PASS
home cleaning service chahiye nearby,Daily Needs,House Cleaning,Daily Needs,House Cleaning,PASS
mujhe ghar ka interior design karwana hai urgently,Local Professionals,Interior Designer,Local Professionals,Interior Designer,PASS
pest control chahiye help chahiye,Daily Needs,Pest Control,Daily Needs,Pest Control,PASS
lawyer chahiye please,Business Services,Lawyer,Business Services,Lawyer,PASS
bhai clothes washing service chahiye aaj,Daily Needs,Laundry,Daily Needs,Laundry,PASS
aaj ghar me cockroach bahut hain nearby,Daily Needs,Pest Control,Daily Needs,Pest Control,PASS
urgent khet me irrigation karwani hai koi hai kya,Agriculture,Irrigation Service,Agriculture,Irrigation Service,PASS
bhai interior designer chahiye,Local Professionals,Interior Designer,Local Professionals,Interior Designer,PASS
mujhe water purifier repair karwana hai mere area me,Home Services,RO / Water Purifier Service,Home Services,RO / Water Purifier Service,PASS
please switch kaam nahi kar raha help chahiye,Home Services,Electrician,Home Services,Electrician,PASS
aaj AC service chahiye mere area me,Home Services,AC Repair & Service,Home Services,AC Repair & Service,PASS
please function organise karwana hai koi hai kya,Local Professionals,Event Planner,Local Professionals,Event Planner,PASS
jaldi bike repair karwani hai jaldi,Vehicle Services,Bike Repair,Vehicle Services,Bike Repair,PASS
nearby car tyre puncture ho gaya urgently,Vehicle Services,Tyre Puncture,Vehicle Services,Tyre Puncture,PASS
aaj ghar par teacher chahiye koi hai kya,Education,Home Tutor,Education,Home Tutor,PASS
